"","Genes","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","CRYAB",0,7.89273240434228,0.983,0.045,0
"2","S100B",0,6.81066657557763,0.88,0.018,0
"3","CLU",0,6.0543241543785,0.922,0.085,0
"4","PLP1",0,7.51911356090565,0.84,0.012,0
"5","IGFBP7",0,3.97954364521749,0.973,0.153,0
"6","GPM6B",0,6.71561513645273,0.867,0.049,0
"7","PMP22",0,5.26560272087445,0.926,0.131,0
"8","LGI4",0,7.9597563168675,0.781,0.015,0
"9","SPARC",0,3.54242372727148,0.948,0.187,0
"10","CD9",0,4.60191960605754,0.95,0.227,0
"11","NRXN1",0,7.8806291200783,0.715,0.009,0
"12","TMEM176B",0,3.7633913902928,0.895,0.191,0
"13","FXYD1",0,5.67937116756871,0.774,0.073,0
"14","ALDH1A1",0,5.43568909515517,0.8,0.105,0
"15","PRNP",0,4.90074065958777,0.853,0.16,0
"16","SEMA3B",0,5.93128761103477,0.726,0.047,0
"17","MATN2",0,5.69945865923162,0.724,0.051,0
"18","MPZ",0,7.37065905560608,0.682,0.011,0
"19","CNN3",0,3.98501861181142,0.826,0.18,0
"20","SPP1",0,7.43322301373007,0.649,0.006,0
"21","DKK3",0,5.55444735914411,0.682,0.045,0
"22","CD59",0,4.25240237271646,0.849,0.215,0
"23","TIMP3",0,3.85622738953149,0.739,0.105,0
"24","CDH19",0,7.86339475066026,0.633,0.007,0
"25","SPARCL1",0,3.31293568572776,0.74,0.128,0
"26","MYOT",0,11.2221414135213,0.601,0.001,0
"27","LGALS1",0,2.84285400523291,0.979,0.381,0
"28","GSN",0,2.90319382351011,0.778,0.183,0
"29","TMEM176A",0,3.41006535753994,0.765,0.174,0
"30","SCN7A",0,7.63108066130686,0.594,0.012,0
"31","IFITM3",0,2.77988024355905,0.913,0.333,0
"32","COL1A2",0,1.35376813828268,0.716,0.163,0
"33","ANXA2",0,3.27458483840344,0.911,0.359,0
"34","MT2A",0,2.45572909844289,0.858,0.306,0
"35","GFRA3",0,8.93872679127283,0.547,0.003,0
"36","SORBS2",0,5.50313580961853,0.581,0.043,0
"37","AP1S2",0,3.42060704805084,0.689,0.162,0
"38","PMEPA1",0,4.86831840595227,0.583,0.065,0
"39","CCL2",0,4.64913420319076,0.603,0.086,0
"40","TUBA1A",0,2.88465622411939,0.889,0.376,0
"41","CST3",0,1.79045539595105,0.865,0.354,0
"42","S100A4",0,2.58580034979945,0.889,0.384,0
"43","EEF1B2",0,-2.49140734306476,0.352,0.856,0
"44","SERPING1",0,3.63577210783087,0.593,0.091,0
"45","ANXA1",0,2.53997559202791,0.754,0.261,0
"46","NNMT",0,4.19255638501792,0.535,0.044,0
"47","TSPAN11",0,7.2637098696005,0.499,0.009,0
"48","COMT",0,3.57411460145154,0.693,0.204,0
"49","COL18A1",0,4.11108226127765,0.551,0.069,0
"50","GPX3",0,4.14505631304635,0.53,0.052,0
"51","ARHGDIB",0,-5.01627947880213,0.031,0.505,0
"52","NTM",0,6.15313721836615,0.49,0.018,0
"53","GPR155",0,4.75758557821383,0.517,0.047,0
"54","RHOC",0,2.6919181095373,0.744,0.279,0
"55","MARCKS",0,2.69416932810567,0.724,0.259,0
"56","NRN1",0,6.75744812185692,0.475,0.011,0
"57","DST",0,3.64098813650401,0.596,0.134,0
"58","MAL",0,4.10328219575463,0.514,0.053,0
"59","NDRG2",0,4.41966947667873,0.546,0.088,0
"60","SH3BGRL3",0,-2.39289389590044,0.264,0.721,0
"61","RGS16",0,4.69771440889165,0.511,0.058,0
"62","TUBB2B",0,4.3075610128741,0.486,0.041,0
"63","ARHGAP15",0,2.91912007207006,0.642,0.201,0
"64","CD52",0,-5.09780949080473,0.026,0.463,0
"65","FBLN2",0,5.29691934118716,0.46,0.025,0
"66","ANXA5",0,2.65487080831794,0.748,0.316,0
"67","RARRES2",0,2.12855228447758,0.596,0.165,0
"68","LGALS3BP",0,2.9408532694343,0.611,0.188,0
"69","L1CAM",0,7.35329193776135,0.429,0.006,0
"70","MT1E",0,1.90197389183318,0.576,0.154,0
"71","IFI27",0,2.07232182844656,0.565,0.144,0
"72","CORO1A",0,-5.88128054956312,0.012,0.428,0
"73","EMP2",0,3.26800618396799,0.544,0.133,0
"74","PABPC1",0,-1.78704842996638,0.396,0.806,0
"75","HES1",0,2.69439252054272,0.613,0.207,0
"76","ANK3",0,4.77459475414927,0.458,0.055,0
"77","PDLIM4",0,4.33241092764827,0.462,0.06,0
"78","S100A10",0,1.93204397997949,0.948,0.546,0
"79","RASSF4",0,5.0441788469539,0.431,0.031,0
"80","C1R",0,3.0132135039119,0.475,0.079,0
"81","MT-ATP8",0,-3.67970324953803,0.061,0.456,0
"82","LAPTM5",0,-5.75700271449925,0.016,0.411,0
"83","RAC2",0,-6.04558945078154,0.01,0.404,0
"84","CD37",0,-5.99252726547796,0.014,0.408,0
"85","SGCE",0,3.83231481056191,0.464,0.073,0
"86","XKR4",0,8.62585302930523,0.391,0.003,0
"87","PTPRC",0,-6.36025151465164,0.008,0.393,0
"88","C1S",0,2.52092668462398,0.48,0.096,0
"89","RCAN1",0,5.21780854384193,0.436,0.054,0
"90","COL1A1",0,0.303330109663556,0.541,0.16,0
"91","MIA",0,7.68245853325539,0.386,0.005,0
"92","CADM3",0,6.85971398962047,0.386,0.007,0
"93","PFDN5",0,-1.37121488239795,0.479,0.858,0
"94","CLIC4",0,3.53039131454952,0.491,0.114,0
"95","RHOB",0,2.25028611803037,0.652,0.277,0
"96","RDX",0,3.27691459476362,0.515,0.14,0
"97","PLAT",0,2.26762223801544,0.462,0.092,0
"98","PSAP",0,2.32416910308274,0.783,0.414,0
"99","CTNNAL1",0,4.31758694058015,0.437,0.068,0
"100","ID3",0,2.13344395689656,0.673,0.305,0
"101","RPL4",0,-1.69549566228694,0.499,0.867,0
"102","SRGN",0,-3.65958457129761,0.097,0.464,0
"103","CBR1",0,3.37561081016821,0.502,0.136,0
"104","SLC25A6",0,-1.2997241168732,0.418,0.779,0
"105","S100A6",0,2.07700423601636,0.99,0.629,0
"106","COL28A1",0,7.84712352393229,0.363,0.003,0
"107","CXCR4",0,-4.36824421045925,0.039,0.398,0
"108","VIM",0,2.01110093682517,0.982,0.623,0
"109","CD69",0,-4.57901013991263,0.031,0.389,0
"110","GAS7",0,4.70813403430831,0.388,0.03,0
"111","PHLDA3",0,4.97102095049156,0.388,0.031,0
"112","GYPC",0,-4.2824333876637,0.02,0.377,0
"113","OLFML2A",0,5.88881527645867,0.372,0.015,0
"114","TPPP3",0,5.51774035086541,0.386,0.031,0
"115","FEZ1",0,4.7217843762849,0.387,0.033,0
"116","LMNA",0,1.97083586912641,0.683,0.33,0
"117","PLEKHB1",0,5.17979824217988,0.375,0.023,0
"118","PRSS23",0,3.19856663262104,0.418,0.066,0
"119","HSPG2",0,3.49641139464499,0.413,0.063,0
"120","SCCPDH",0,3.67451021226026,0.457,0.109,0
"121","SLITRK6",0,4.24851833656835,0.388,0.04,0
"122","COL8A1",0,6.97261894275051,0.354,0.006,0
"123","NGFR",0,6.22479036734632,0.359,0.011,0
"124","LSP1",0,-4.53944085576203,0.021,0.368,0
"125","ASPA",0,6.27626307033955,0.357,0.01,0
"126","APP",0,2.26735435010456,0.592,0.245,0
"127","SNCA",0,4.97820513837029,0.372,0.026,0
"128","MYL9",0,1.29584092761308,0.488,0.143,0
"129","FIBIN",0,3.64496961155235,0.384,0.04,0
"130","LTBP4",0,2.23107804616841,0.519,0.176,0
"131","COL9A3",0,4.57187460814742,0.38,0.037,0
"132","ERBB3",0,3.82096933853694,0.419,0.076,0
"133","RPS21",0,-2.08607176549446,0.556,0.899,0
"134","IER3",0,2.35233876607903,0.524,0.183,0
"135","CADM1",0,4.32126163048593,0.388,0.047,0
"136","PEBP1",0,2.37327713564858,0.825,0.484,0
"137","CNP",0,3.78374143908969,0.428,0.087,0
"138","EVL",0,-3.63310364523445,0.04,0.38,0
"139","FSTL3",0,5.54384875400496,0.366,0.026,0
"140","CD63",0,1.5367460453677,0.843,0.504,0
"141","EIF3H",0,-1.35230975366015,0.222,0.559,0
"142","ANP32B",0,-1.71343286309318,0.139,0.475,0
"143","PCSK2",0,8.66511257463385,0.337,0.003,0
"144","MXRA8",0,3.23583866356803,0.42,0.087,0
"145","CRIP2",0,2.66782352774983,0.416,0.083,0
"146","VAMP5",0,2.72620094896059,0.503,0.174,0
"147","IFITM1",0,-5.96148047765751,0.017,0.346,0
"148","CD48",0,-5.13333359853721,0.01,0.338,0
"149","LTB",0,-5.48166996268526,0.017,0.345,0
"150","PCDH9",0,4.43009519943595,0.363,0.035,0
"151","RPSA",0,-1.88589254707482,0.551,0.878,0
"152","ECM1",0,3.93355917671049,0.36,0.038,0
"153","VAMP8",0,-3.67860802986591,0.026,0.348,0
"154","MT-ND4L",0,-2.58910603082317,0.354,0.675,0
"155","PDK4",0,3.99080967658951,0.378,0.057,0
"156","FSTL1",0,2.37820796227135,0.441,0.121,0
"157","CADM2",0,7.63898139539701,0.323,0.005,0
"158","ABCA8",0,3.24411943193602,0.348,0.03,0
"159","CYTIP",0,-5.60020453246265,0.008,0.324,0
"160","HSPB1",0,1.43357258311937,0.769,0.453,0
"161","FGL2",0,3.88513560911304,0.367,0.051,0
"162","HSPA1A",0,1.11546590971884,0.693,0.377,0
"163","TSPAN15",0,4.33713919600792,0.369,0.054,0
"164","SMIM5",0,6.06654752256824,0.326,0.011,0
"165","RNASET2",0,-3.53321415885202,0.028,0.342,0
"166","RPS4Y1",0,-2.44356008209665,0.085,0.398,0
"167","STK17B",0,-4.78479449549779,0.014,0.326,0
"168","EGR1",0,1.78561858680131,0.61,0.298,0
"169","NPM1",0,-1.35921440022148,0.482,0.793,0
"170","TAX1BP3",0,3.02362334315841,0.456,0.145,0
"171","ADIRF",0,2.49959208261668,0.415,0.104,0
"172","IL2RG",0,-5.41583040373214,0.008,0.318,0
"173","EPB41L2",0,3.12973699193086,0.413,0.106,0
"174","SLC22A17",0,4.74084002964463,0.34,0.034,0
"175","SAMHD1",0,2.53538033648294,0.434,0.128,0
"176","COX7C",0,-1.10592343307744,0.492,0.797,0
"177","TNFAIP6",0,4.98535402144589,0.324,0.02,0
"178","CTNNA1",0,2.80633130027204,0.468,0.166,0
"179","CSRP1",0,2.57487093829462,0.452,0.151,0
"180","CD151",0,2.36743476250744,0.515,0.214,0
"181","MAP1B",0,3.11641030302468,0.358,0.06,0
"182","HLA-DRA",0,1.00379324000891,0.584,0.286,0
"183","EEF1D",0,-1.12673821433463,0.591,0.883,0
"184","SPTBN1",0,2.42341536547314,0.49,0.199,0
"185","S100A11",0,1.59699773982095,0.75,0.46,0
"186","KCNMB4",0,5.83023745284469,0.304,0.014,0
"187","LAPTM4A",0,1.456239495746,0.708,0.419,0
"188","NCAM1",0,3.72927901952226,0.339,0.051,0
"189","COL4A1",0,2.44153182324189,0.372,0.084,0
"190","NLGN4X",0,5.40877928154949,0.305,0.017,0
"191","CNN2",0,-3.98690047970396,0.025,0.312,0
"192","VWA1",0,3.96574324347419,0.334,0.049,0
"193","HLA-DRB1",0,1.28351308229475,0.581,0.296,0
"194","RPL23",0,-1.21445995426744,0.501,0.785,0
"195","SEMA6D",0,4.83391847754942,0.312,0.03,0
"196","SOX10",0,6.6112194860623,0.287,0.005,0
"197","RPL36A",0,-1.18241908929026,0.507,0.787,0
"198","RPL37",0,-2.13004616430272,0.668,0.947,0
"199","S100A16",0,2.32543048097959,0.423,0.145,0
"200","LAMP2",0,2.94850438652644,0.419,0.141,0
"201","CAB39L",0,5.7887055241714,0.293,0.015,0
"202","SOX4",0,1.80768304146644,0.509,0.232,0
"203","TIMP1",0,1.33995351234933,0.593,0.316,0
"204","HNRNPA1",0,-1.33026122117969,0.539,0.816,0
