"","Genes","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","MYOT",0,11.2221414135213,0.601,0.001,0
"2","HEPACAM",0,10.3717500794429,0.049,0,0
"3","ANGPTL7",0,9.94514036176675,0.117,0,0
"4","HEPN1",0,9.93665741683724,0.075,0,0
"5","PMP2",0,9.05554121068556,0.123,0,0
"6","GFRA3",0,8.93872679127283,0.547,0.003,0
"7","MGAT4C",0,8.86581514628796,0.159,0.001,0
"8","PCSK2",0,8.66511257463385,0.337,0.003,0
"9","GPR17",0,8.6401437051337,0.097,0.001,0
"10","XKR4",0,8.62585302930523,0.391,0.003,0
"11","SERPINA5",0,8.51001662008525,0.226,0.003,0
"12","ART3",0,8.12814262049264,0.177,0.002,0
"13","KIRREL3",0,8.11644062086304,0.096,0.001,0
"14","S100A1",0,8.0136905453463,0.191,0.003,0
"15","LGI4",0,7.9597563168675,0.781,0.015,0
"16","CRYAB",0,7.89273240434228,0.983,0.045,0
"17","NRXN1",0,7.8806291200783,0.715,0.009,0
"18","CDH19",0,7.86339475066026,0.633,0.007,0
"19","COL28A1",0,7.84712352393229,0.363,0.003,0
"20","MIA",0,7.68245853325539,0.386,0.005,0
"21","CADM2",0,7.63898139539701,0.323,0.005,0
"22","SCN7A",0,7.63108066130686,0.594,0.012,0
"23","RASGEF1C",0,7.54624416175319,0.077,0.001,0
"24","PLP1",0,7.51911356090565,0.84,0.012,0
"25","TIMP4",0,7.48172168938693,0.246,0.004,0
"26","ST3GAL6-AS1",0,7.48014482457968,0.074,0.001,0
"27","SPP1",0,7.43322301373007,0.649,0.006,0
"28","MPZ",0,7.37065905560608,0.682,0.011,0
"29","L1CAM",0,7.35329193776135,0.429,0.006,0
"30","TSPAN11",0,7.2637098696005,0.499,0.009,0
"31","LRRTM1",0,7.14387399002121,0.244,0.005,0
"32","SHC4",0,7.00311552323976,0.187,0.003,0
"33","TMEM155",0,6.97672673477183,0.062,0.001,0
"34","COL8A1",0,6.97261894275051,0.354,0.006,0
"35","FOXD3",0,6.93355173402506,0.191,0.003,0
"36","TFAP2A",0,6.89011555235239,0.22,0.003,0
"37","CADM3",0,6.85971398962047,0.386,0.007,0
"38","HPR",4.11281822999956e-293,6.85154824118729,0.014,0,6.6236937594143e-289
"39","S100B",0,6.81066657557763,0.88,0.018,0
"40","PRIMA1",0,6.76563879983256,0.249,0.005,0
"41","NRN1",0,6.75744812185692,0.475,0.011,0
"42","GPM6B",0,6.71561513645273,0.867,0.049,0
"43","RXRG",0,6.68209091168289,0.196,0.003,0
"44","SOX10",0,6.6112194860623,0.287,0.005,0
"45","TMEM74",0,6.59973257023503,0.032,0.001,0
"46","GRIA1",0,6.53802059965398,0.024,0.001,0
"47","B4GALNT1",0,6.52979047185897,0.134,0.002,0
"48","WNT6",0,6.46937000228196,0.071,0.002,0
"49","NXF3",0,6.46859073272969,0.018,0.001,0
"50","IL31RA",0,6.39820198180305,0.014,0,0
"51","SOX2",0,6.38109148323196,0.256,0.006,0
"52","C9orf50",0,6.3413908569617,0.019,0.001,0
"53","NRXN3",0,6.33096352076739,0.28,0.008,0
"54","GRIK3",0,6.32529522639668,0.069,0.002,0
"55","ASPA",0,6.27626307033955,0.357,0.01,0
